COD_CLIENTE,FAMILIA_PRODUTO,LINHA_PRODUTO,INSTANTE,PRECO_VENDA,DEMANDA
CLIENTE430,InferiorRaso,V1,10,"608,4788771",500
CLIENTE430,InferiorRaso,V1,11,"608,4788771",500
CLIENTE430,InferiorRaso,V1,12,"608,4788771",500
CLIENTE430,InferiorRaso,V1,13,"608,4788771",450
CLIENTE430,InferiorRaso,V1,14,"608,4788771",500
CLIENTE430,InferiorRaso,V1,15,"608,4788771",500
CLIENTE9,MuitoBomPleno,V5,1,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,2,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,3,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,4,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,5,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,6,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,7,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,8,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,9,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,10,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,11,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,12,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,13,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,14,"608,4788771",150
CLIENTE9,MuitoBomPleno,V5,15,"608,4788771",150
CLIENTE9,MuitoBomIntenso,V9,1,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,2,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,3,"608,4788771",135
CLIENTE9,MuitoBomIntenso,V9,4,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,5,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,6,"608,4788771",135
CLIENTE9,MuitoBomIntenso,V9,7,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,8,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,9,"608,4788771",135
CLIENTE9,MuitoBomIntenso,V9,10,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,11,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,12,"608,4788771",135
CLIENTE9,MuitoBomIntenso,V9,13,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,14,"608,4788771",120
CLIENTE9,MuitoBomIntenso,V9,15,"608,4788771",135
CLIENTE9,ArtificialCinco,V16,3,"608,4788771",64
CLIENTE9,ArtificialCinco,V16,5,"608,4788771",64
CLIENTE9,ArtificialCinco,V16,7,"608,4788771",64
CLIENTE9,ArtificialCinco,V16,9,"608,4788771",64
CLIENTE9,ArtificialCinco,V16,11,"608,4788771",64
